beer_id,beer_name,brewery_id,brewery_name
14348,Eisbrau Czech,1,"Plzensky Prazdroj, a. s."
19099,Primus,1,"Plzensky Prazdroj, a. s."
19123,Gambrinus Pale,1,"Plzensky Prazdroj, a. s."
19274,Urutislav,1,"Plzensky Prazdroj, a. s."
41294,Pilsner Urquell 3.5%,1,"Plzensky Prazdroj, a. s."
429,Pilsner Urquell,1,"Plzensky Prazdroj, a. s."
49865,Gambrinus Excelent (Gambrinus 11),1,"Plzensky Prazdroj, a. s."
51248,Pilsner Urquell Kvasnicový (Unfiltered Yeast Beer),1,"Plzensky Prazdroj, a. s."
51575,Gambrinus Svetly,1,"Plzensky Prazdroj, a. s."
5916,Gambrinus,1,"Plzensky Prazdroj, a. s."
59315,Master Zlatý 15°,1,"Plzensky Prazdroj, a. s."
67962,Master Tmavý 18°,1,"Plzensky Prazdroj, a. s."
69068,Master Polotmavý 13°,1,"Plzensky Prazdroj, a. s."
15353,Dr Johnson's Definitive,10,Whim Ales
18786,Snow White,10,Whim Ales
18791,Hartington Bitter,10,Whim Ales
20,Old Izaak,10,Whim Ales
324,McNeill's Champ Ale,100,McNeill's Brewery
10693,McNeill's Wheat Wright,100,McNeill's Brewery
11973,McNeill's Summer Bitter,100,McNeill's Brewery
12911,McNeill's Big Nose Blond (aka Blond Bombshell),100,McNeill's Brewery
12912,McNeill's Doc Feelgood's Pils,100,McNeill's Brewery
12913,McNeill's Exterminator Doppelbock,100,McNeill's Brewery
12915,McNeill's Maibock,100,McNeill's Brewery
12916,McNeill's Oktoberfest,100,McNeill's Brewery
12917,McNeill's Scotch Ale,100,McNeill's Brewery
12918,McNeill's Tartan Export,100,McNeill's Brewery
13796,McNeill's Humperdink Black Beer,100,McNeill's Brewery
1393,McNeill's Extra Special Bitter,100,McNeill's Brewery
13985,McNeill's Pilsener Beer,100,McNeill's Brewery
1509,McNeill's Ruby Ale,100,McNeill's Brewery
16917,McNeill's Reagin's Stout,100,McNeill's Brewery
1814,McNeill's Pullman's Porter,100,McNeill's Brewery
1884,McNeill's Dead Horse IPA,100,McNeill's Brewery
19610,McNeill's Organic Pale Ale,100,McNeill's Brewery
2187,McNeill's Old Ringworm,100,McNeill's Brewery
27015,McNeill's Pay Day,100,McNeill's Brewery
2869,McNeill's Wassail,100,McNeill's Brewery
322,McNeill's Oatmeal Stout,100,McNeill's Brewery
323,McNeill's Duck's Breath Bitter,100,McNeill's Brewery
325,McNeill's Firehouse Amber Ale,100,McNeill's Brewery
33212,McNeill's Imperial IPA,100,McNeill's Brewery
42457,McNeill's Summer Brown Ale,100,McNeill's Brewery
4680,McNeill's Bucksnort Barleywine,100,McNeill's Brewery
4787,McNeill's Slopbucket Brown,100,McNeill's Brewery
4840,McNeill's Summer IPA,100,McNeill's Brewery
48798,McNeill's Warlord Imperial IPA,100,McNeill's Brewery
53340,McNeill's My New Invention (Brattleboro Food Co-Op Collaboration),100,McNeill's Brewery
5349,McNeill's Yukon Gold,100,McNeill's Brewery
5434,McNeill's Imperial Stout,100,McNeill's Brewery
60227,McNeill's Sunshine India Pale Ale,100,McNeill's Brewery
60377,McNeill's Dark Angel Imperial Stout,100,McNeill's Brewery
621,McNeill's Kölsch,100,McNeill's Brewery
63333,Old Ringy (Oak Aged),100,McNeill's Brewery
