beer_id_beerAdvocate,beer_name_beerAdvocate,brewery_id_beerAdvocate,brewery_name_beerAdvocate,beer_id_rateBeer,beer_name_rateBeer,brewery_id_rateBeer,brewery_name_rateBeer,similarity
22287,Two Guns Pilsner,986,Wynkoop Brewing Company,14488,Wynkoop Two Guns Pilsner,1384,Wynkoop Brewing Company,1.0
49811,First Account Stout,17981,Cigar City Brewing,103511,Cigar City First Account Stout,9990,Cigar City Brewing,1.0
12408,Old Town Nut Brown Ale,2042,Santa Barbara Brewing Company,21047,Santa Barbara Old Town Nut Brown Ale,2381,Santa Barbara Brewing Company,1.0
51661,Bourbon Barrel Imperial Stout,220,Lagunitas Brewing Company,113551,Lagunitas Bourbon Barrel Imperial Stout,1167,Lagunitas Brewing Company,1.0
52005,Bonnie Lee's Best Bitter,463,Magnolia Pub & Brewery,71294,Magnolia Bonnie Lees Best Bitter,245,Magnolia Pub and Brewery,1.0
52006,New Speedway Bitter,463,Magnolia Pub & Brewery,59689,Magnolia New Speedway Bitter,245,Magnolia Pub and Brewery,1.0
12407,Rincon Red,2042,Santa Barbara Brewing Company,17160,Santa Barbara Rincon Red,2381,Santa Barbara Brewing Company,1.0
57080,4 Winds Quadrupel,463,Magnolia Pub & Brewery,118135,Magnolia 4 Winds Quadrupel,245,Magnolia Pub and Brewery,1.0
57318,Dark Star Mild,463,Magnolia Pub & Brewery,61601,Magnolia Dark Star Mild,245,Magnolia Pub and Brewery,1.0
12406,Gold Coast Wheat,2042,Santa Barbara Brewing Company,21045,Santa Barbara Gold Coast Wheat,2381,Santa Barbara Brewing Company,1.0
63575,Destiny Unblonde,463,Magnolia Pub & Brewery,115702,Magnolia Destiny Unblonde,245,Magnolia Pub and Brewery,1.0
12405,Santa Barbara Blonde,2042,Santa Barbara Brewing Company,12989,Santa Barbara Blonde,2381,Santa Barbara Brewing Company,1.0
63577,Chocolate George Stout,463,Magnolia Pub & Brewery,133487,Magnolia Chocolate George Stout,245,Magnolia Pub and Brewery,1.0
5845,American Ale,1344,Cricket Hill Brewing Co.,18189,Cricket Hill American Ale,2923,Cricket Hill Brewing Co.,1.0
12404,Pacific Pale Ale,2042,Santa Barbara Brewing Company,17159,Santa Barbara Pacific Pale Ale,2381,Santa Barbara Brewing Company,1.0
64775,Long Break Bitter,463,Magnolia Pub & Brewery,137334,Magnolia Long Break Bitter,245,Magnolia Pub and Brewery,1.0
66522,Rye Rye Rocco,463,Magnolia Pub & Brewery,138793,Magnolia Rye Rye Rocco,245,Magnolia Pub and Brewery,1.0
12409,State Street Stout,2042,Santa Barbara Brewing Company,14648,Santa Barbara State Street Stout,2381,Santa Barbara Brewing Company,1.0
5539,East Coast Lager,1344,Cricket Hill Brewing Co.,17148,Cricket Hill East Coast Lager,2923,Cricket Hill Brewing Co.,1.0
73828,High Time Harvest Citra,463,Magnolia Pub & Brewery,155679,Magnolia High Time Harvest Citra,245,Magnolia Pub and Brewery,1.0
12403,Harbor Light,2042,Santa Barbara Brewing Company,21044,Santa Barbara Harbor Light,2381,Santa Barbara Brewing Company,1.0
10127,White Star XPA,2042,Santa Barbara Brewing Company,24210,Santa Barbara White Star XPA (Extra Pale Ale),2381,Santa Barbara Brewing Company,1.0
76410,White Birch Apprentice Series First Tracks,20417,White Birch Brewing,161277,White Birch Apprentice Series First Tracks,10775,White Birch Brewing,1.0
67522,Pinnacle Blonde,11743,Naylor's Brewery,72248,Naylors Pinnacle Blonde,6082,Naylors,1.0
76524,Barking Pumpkin,463,Magnolia Pub & Brewery,53692,Magnolia Barking Pumpkin Ale ,245,Magnolia Pub and Brewery,1.0
76315,White Birch Barrel Aged Coopers Dilemma Ale,20417,White Birch Brewing,161055,White Birch Barrel Aged Coopers Dilemma Ale,10775,White Birch Brewing,1.0
16126,Backdraft Stout,4632,Pumphouse Brewery,12032,Pumphouse Backdraft Stout,2240,Pumphouse Brewery and Restaurant,1.0
16127,Sour Cherry Imperial Stout,4632,Pumphouse Brewery,46093,Pumphouse Sour Cherry Imperial Stout,2240,Pumphouse Brewery and Restaurant,1.0
16798,Red Alert Ale,4632,Pumphouse Brewery,14810,Pumphouse Red Alert Ale,2240,Pumphouse Brewery and Restaurant,1.0
22432,Four Alarm Copper Ale,4632,Pumphouse Brewery,33311,Pumphouse Four Alarm Copper Ale,2240,Pumphouse Brewery and Restaurant,1.0
22433,Igniter Pale Ale,4632,Pumphouse Brewery,14809,Pumphouse Igniter Pale Ale,2240,Pumphouse Brewery and Restaurant,1.0
22434,Firestone Double White,4632,Pumphouse Brewery,36313,Pumphouse Firestone Double White,2240,Pumphouse Brewery and Restaurant,1.0
51375,Gallows Hill Porter,463,Magnolia Pub & Brewery,106773,Magnolia Gallows Hill Porter,245,Magnolia Pub and Brewery,1.0
67273,American Brown Ale,1344,Cricket Hill Brewing Co.,135489,Cricket Hill Brewmaster's Reserve American Brown Ale,2923,Cricket Hill Brewing Co.,1.0
75423,White Birch Apprentice Series Svetlana,20417,White Birch Brewing,161339,White Birch Apprentice Series Svetlana,10775,White Birch Brewing,1.0
20749,Pearly Baker's Best Bitter,463,Magnolia Pub & Brewery,51194,Magnolia Pearly Bakers Best Bitter,245,Magnolia Pub and Brewery,1.0
70012,Saint Humulus,1386,Harmon Restaurant & Brewery,149135,Harmon Saint Humulus Belgian IPA,3015,Harmon Brewery & Restaurant,1.0
3911,Weekapaug Gruit,463,Magnolia Pub & Brewery,21636,Magnolia Weekapaug Gruit,245,Magnolia Pub and Brewery,1.0
14719,Magnolia Old Thunderpussy Barleywine,463,Magnolia Pub & Brewery,2660,Magnolia Old Thunderpussy Barleywine,245,Magnolia Pub and Brewery,1.0
21295,Black Ice Imperial Stout,2042,Santa Barbara Brewing Company,42057,Santa Barbara Black Ice Imperial Stout,2381,Santa Barbara Brewing Company,1.0
69774,Schlossbräu Märzen,3655,Schlossbrauerei Au-Hallertau,143205,Schlossbrauerei  Au-Hallertau Schlossbräu Märzen,2698,Schlossbrauerei  Au,1.0
15556,Cole Porter,463,Magnolia Pub & Brewery,2651,Magnolia Cole Porter,245,Magnolia Pub and Brewery,1.0
28427,Spanish Springs Wilhelm Sebalds Authentic Bavarian Oktoberfest,1616,Spanish Springs Brewing Company,53815,Spanish Springs Wilhelm Sebalds Authentic Bavarian Oktoberfest,4191,Spanish Springs Brewing Company,1.0
17502,Big Cypress Brown,463,Magnolia Pub & Brewery,2650,Magnolia Big Cypress Brown Ale,245,Magnolia Pub and Brewery,1.0
17589,Weather Report Wheat,463,Magnolia Pub & Brewery,2655,Magnolia Weather Report Wheat,245,Magnolia Pub and Brewery,1.0
17590,Kalifornia Kolsch,463,Magnolia Pub & Brewery,14229,Magnolia Kalifornia Kolsch,245,Magnolia Pub and Brewery,1.0
12690,Morimoto Imperial Pilsner,132,Rogue Ales,587,Rogue Morimoto Imperial Pilsner,96,Rogue Ales,1.0
19892,Promised Land Imperial IPA,463,Magnolia Pub & Brewery,30950,Magnolia Promised Land Imperial IPA,245,Magnolia Pub and Brewery,1.0
19893,Magnolia Ashbury Alt,463,Magnolia Pub & Brewery,2656,Magnolia Ashbury Alt,245,Magnolia Pub and Brewery,1.0
19894,Deep Elem Dubbel,463,Magnolia Pub & Brewery,34652,Magnolia Deep Elem Dubbel,245,Magnolia Pub and Brewery,1.0
21028,Spooky Tooth Stout,463,Magnolia Pub & Brewery,2653,Magnolia Spooky Tooth Stout,245,Magnolia Pub and Brewery,1.0
